Waktu,Jenis Kendaraan,Jenis Pelanggaran,Durasi (Detik)
2026-04-23 11:11:03,Car,DANGER: Ngetem!,60
2026-04-23 11:11:03,Car,DANGER: Ngetem!,60
2026-04-23 18:57:06,Car,Masuk Jalur Busway,-
2026-04-23 18:57:08,Car,Masuk Jalur Busway,-
2026-04-23 19:42:08,Car,Masuk Jalur Busway,-
2026-04-23 19:42:10,Car,Masuk Jalur Busway,-
2026-04-23 19:42:10,Car,Masuk Jalur Busway,-
2026-04-23 19:42:10,Number Plate,Masuk Jalur Busway,-
2026-04-23 19:42:15,Number Plate,Masuk Jalur Busway,-
2026-04-23 19:42:25,Car,Masuk Jalur Busway,-
